_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
14012,ET,467,Toronto,Nov-14
14013,NY,93,Outside City Limits,Nov-14
14014,NY,267,Toronto,Nov-14
14015,SC,71,Outside City Limits,Nov-14
14016,SC,432,Toronto,Nov-14
14017,ET,111,Outside City Limits,Dec-14
14018,ET,308,Toronto,Dec-14
14019,NY,73,Outside City Limits,Dec-14
14020,NY,441,Toronto,Dec-14
14021,SC,85,Outside City Limits,Dec-14
14022,SC,482,Toronto,Dec-14
14023,ET,158,Outside City Limits,Jan-15
14024,ET,487,Toronto,Jan-15
14025,NY,119,Outside City Limits,Jan-15
14026,NY,422,Toronto,Jan-15
14027,SC,94,Outside City Limits,Jan-15
14028,SC,580,Toronto,Jan-15
14029,ET,132,Outside City Limits,Feb-15
14030,ET,543,Toronto,Feb-15
14031,NY,93,Outside City Limits,Feb-15
14032,NY,210,Toronto,Feb-15
14033,SC,107,Outside City Limits,Feb-15
14034,SC,500,Toronto,Feb-15
14035,ET,139,Outside City Limits,Mar-15
14036,ET,584,Toronto,Mar-15
14037,NY,65,Outside City Limits,Mar-15
14038,NY,347,Toronto,Mar-15
14039,SC,63,Outside City Limits,Mar-15
14040,SC,367,Toronto,Mar-15
14041,ET,113,Outside City Limits,Apr-15
14042,ET,399,Toronto,Apr-15
14043,NY,126,Outside City Limits,Apr-15
14044,NY,345,Toronto,Apr-15
14045,SC,60,Outside City Limits,Apr-15
14046,SC,436,Toronto,Apr-15
14047,ET,64,Outside City Limits,May-15
14048,ET,273,Toronto,May-15
14049,NY,94,Outside City Limits,May-15
14050,NY,422,Toronto,May-15
14051,SC,49,Outside City Limits,May-15
14052,SC,364,Toronto,May-15
14053,ET,124,Outside City Limits,Jun-15
14054,ET,319,Toronto,Jun-15
14055,NY,54,Outside City Limits,Jun-15
14056,NY,363,Toronto,Jun-15
14057,SC,93,Outside City Limits,Jun-15
14058,SC,450,Toronto,Jun-15
14059,ET,93,Outside City Limits,Jul-15
14060,ET,374,Toronto,Jul-15
14061,NY,76,Outside City Limits,Jul-15
14062,NY,369,Toronto,Jul-15
14063,SC,94,Outside City Limits,Jul-15
14064,SC,466,Toronto,Jul-15
14065,ET,81,Outside City Limits,Aug-15
14066,ET,334,Toronto,Aug-15
14067,NY,111,Outside City Limits,Aug-15
14068,NY,484,Toronto,Aug-15
14069,SC,97,Outside City Limits,Aug-15
14070,SC,416,Toronto,Aug-15
14071,ET,75,Outside City Limits,Sep-15
14072,ET,310,Toronto,Sep-15
14073,NY,87,Outside City Limits,Sep-15
14074,NY,333,Toronto,Sep-15
14075,SC,86,Outside City Limits,Sep-15
14076,SC,432,Toronto,Sep-15
14077,ET,158,Outside City Limits,Oct-15
14078,ET,401,Toronto,Oct-15
14079,NY,79,Outside City Limits,Oct-15
14080,NY,301,Toronto,Oct-15
14081,SC,83,Outside City Limits,Oct-15
14082,SC,372,Toronto,Oct-15
14083,ET,116,Outside City Limits,Nov-15
14084,ET,460,Toronto,Nov-15
14085,NY,70,Outside City Limits,Nov-15
14086,NY,372,Toronto,Nov-15
14087,SC,86,Outside City Limits,Nov-15
14088,SC,413,Toronto,Nov-15
14089,ET,68,Outside City Limits,Dec-15
14090,ET,333,Toronto,Dec-15
14091,NY,70,Outside City Limits,Dec-15
14092,NY,259,Toronto,Dec-15
14093,SC,98,Outside City Limits,Dec-15
14094,SC,459,Toronto,Dec-15
14095,ET,183,Outside City Limits,Jan-16
14096,ET,422,Toronto,Jan-16
14097,NY,90,Outside City Limits,Jan-16
14098,NY,396,Toronto,Jan-16
14099,SC,87,Outside City Limits,Jan-16
14100,SC,564,Toronto,Jan-16
14101,ET,95,Outside City Limits,Feb-16
14102,ET,387,Toronto,Feb-16
14103,NY,83,Outside City Limits,Feb-16
14104,NY,285,Toronto,Feb-16
14105,SC,99,Outside City Limits,Feb-16
14106,SC,471,Toronto,Feb-16
14107,ET,155,Outside City Limits,Mar-16
14108,ET,440,Toronto,Mar-16
14109,NY,95,Outside City Limits,Mar-16
14110,NY,311,Toronto,Mar-16
14111,SC,93,Outside City Limits,Mar-16
14112,SC,533,Toronto,Mar-16
14113,ET,104,Outside City Limits,Apr-16
14114,ET,414,Toronto,Apr-16
14115,NY,51,Outside City Limits,Apr-16
14116,NY,255,Toronto,Apr-16
14117,SC,107,Outside City Limits,Apr-16
14118,SC,539,Toronto,Apr-16
14119,ET,137,Outside City Limits,May-16
14120,ET,355,Toronto,May-16
14121,NY,106,Outside City Limits,May-16
14122,NY,329,Toronto,May-16
14123,SC,91,Outside City Limits,May-16
14124,SC,518,Toronto,May-16
14125,ET,134,Outside City Limits,Jun-16
14126,ET,387,Toronto,Jun-16
14127,NY,53,Outside City Limits,Jun-16
14128,NY,304,Toronto,Jun-16
14129,SC,48,Outside City Limits,Jun-16
14130,SC,421,Toronto,Jun-16
14131,ET,126,Outside City Limits,Jul-16
14132,ET,407,Toronto,Jul-16
14133,NY,10,Outside City Limits,Jul-16
14134,NY,250,Toronto,Jul-16
14135,SC,60,Outside City Limits,Jul-16
14136,SC,186,Toronto,Jul-16
14137,ET,155,Outside City Limits,Aug-16
14138,ET,312,Toronto,Aug-16
14139,NY,77,Outside City Limits,Aug-16
14140,NY,240,Toronto,Aug-16
14141,SC,85,Outside City Limits,Aug-16
14142,SC,696,Toronto,Aug-16
14143,ET,198,Outside City Limits,Sep-16
14144,ET,432,Toronto,Sep-16
14145,NY,78,Outside City Limits,Sep-16
14146,NY,321,Toronto,Sep-16
14147,SC,112,Outside City Limits,Sep-16
14148,SC,553,Toronto,Sep-16
14149,ET,108,Outside City Limits,Oct-16
14150,ET,427,Toronto,Oct-16
14151,NY,78,Outside City Limits,Oct-16
14152,NY,356,Toronto,Oct-16
14153,SC,93,Outside City Limits,Oct-16
14154,SC,478,Toronto,Oct-16
14155,ET,124,Outside City Limits,Nov-16
14156,ET,293,Toronto,Nov-16
14157,NY,90,Outside City Limits,Nov-16
14158,NY,308,Toronto,Nov-16
14159,SC,124,Outside City Limits,Nov-16
14160,SC,518,Toronto,Nov-16
14161,ET,98,Outside City Limits,Dec-16
14162,ET,338,Toronto,Dec-16
14163,NY,59,Outside City Limits,Dec-16
14164,NY,298,Toronto,Dec-16
14165,SC,69,Outside City Limits,Dec-16
14166,SC,401,Toronto,Dec-16
14167,ET,208,Outside City Limits,Jan-17
14168,ET,610,Toronto,Jan-17
14169,NY,121,Outside City Limits,Jan-17
14170,NY,381,Toronto,Jan-17
14171,SC,134,Outside City Limits,Jan-17
14172,SC,747,Toronto,Jan-17
14173,ET,105,Outside City Limits,Feb-17
14174,ET,340,Toronto,Feb-17
14175,NY,92,Outside City Limits,Feb-17
14176,NY,352,Toronto,Feb-17
14177,SC,142,Outside City Limits,Feb-17
14178,SC,524,Toronto,Feb-17
14179,ET,133,Outside City Limits,Mar-17
14180,ET,442,Toronto,Mar-17
14181,NY,74,Outside City Limits,Mar-17
14182,NY,430,Toronto,Mar-17
14183,SC,95,Outside City Limits,Mar-17
14184,SC,518,Toronto,Mar-17
14185,ET,122,Outside City Limits,Apr-17
14186,ET,370,Toronto,Apr-17
14187,NY,25,Outside City Limits,Apr-17
14188,NY,160,Toronto,Apr-17
14189,SC,77,Outside City Limits,Apr-17
14190,SC,358,Toronto,Apr-17
14191,ET,135,Outside City Limits,May-17
14192,ET,447,Toronto,May-17
14193,NY,116,Outside City Limits,May-17
14194,NY,426,Toronto,May-17
14195,SC,89,Outside City Limits,May-17
14196,SC,481,Toronto,May-17
14197,ET,110,Outside City Limits,Jun-17
14198,ET,384,Toronto,Jun-17
14199,NY,115,Outside City Limits,Jun-17
14200,NY,265,Toronto,Jun-17
14201,SC,106,Outside City Limits,Jun-17
14202,SC,373,Toronto,Jun-17
14203,ET,133,Outside City Limits,Jul-17
14204,ET,255,Toronto,Jul-17
14205,NY,82,Outside City Limits,Jul-17
14206,NY,268,Toronto,Jul-17
14207,SC,92,Outside City Limits,Jul-17
14208,SC,448,Toronto,Jul-17
14209,ET,128,Outside City Limits,Aug-17
14210,ET,348,Toronto,Aug-17
14211,NY,82,Outside City Limits,Aug-17
14212,NY,277,Toronto,Aug-17
14213,SC,113,Outside City Limits,Aug-17
14214,SC,602,Toronto,Aug-17
14215,ET,140,Outside City Limits,Sep-17
14216,ET,471,Toronto,Sep-17
14217,NY,51,Outside City Limits,Sep-17
14218,NY,239,Toronto,Sep-17
14219,SC,87,Outside City Limits,Sep-17
14220,SC,360,Toronto,Sep-17
14221,ET,172,Outside City Limits,Oct-17
14222,ET,521,Toronto,Oct-17
14223,NY,94,Outside City Limits,Oct-17
14224,NY,289,Toronto,Oct-17
14225,SC,70,Outside City Limits,Oct-17
14226,SC,477,Toronto,Oct-17
14227,ET,129,Outside City Limits,Nov-17
14228,ET,387,Toronto,Nov-17
14229,NY,84,Outside City Limits,Nov-17
14230,NY,358,Toronto,Nov-17
14231,SC,99,Outside City Limits,Nov-17
14232,SC,540,Toronto,Nov-17
14233,ET,44,Outside City Limits,Dec-17
14234,ET,184,Toronto,Dec-17
14235,NY,56,Outside City Limits,Dec-17
14236,NY,125,Toronto,Dec-17
14237,SC,64,Outside City Limits,Dec-17
14238,SC,295,Toronto,Dec-17
14239,ET,248,Outside City Limits,Jan-18
14240,ET,605,Toronto,Jan-18
14241,NY,103,Outside City Limits,Jan-18
14242,NY,501,Toronto,Jan-18
14243,SC,188,Outside City Limits,Jan-18
14244,SC,766,Toronto,Jan-18
14245,ET,193,Outside City Limits,Feb-18
14246,ET,440,Toronto,Feb-18
14247,NY,46,Outside City Limits,Feb-18
14248,NY,262,Toronto,Feb-18
14249,SC,142,Outside City Limits,Feb-18
14250,SC,648,Toronto,Feb-18
14251,ET,126,Outside City Limits,Mar-18
14252,ET,463,Toronto,Mar-18
14253,NY,81,Outside City Limits,Mar-18
